,auc_fold1,auc_fold2,auc_fold3,auc_mean,acc_fold1,acc_fold2,acc_fold3,acc_mean,f1_fold1,f1_fold2,f1_fold3,f1_mean
CE_D_Sub_resnet50_ur1.0_me100_lr_0.0002_decay_0.0_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9901866666666668,0,0,0.33006222222222226,0.955,0,0,0.3183333333333333,0.9387755102040816,0,0,0.31292517006802717
CE_D_Sub_resnet50_ur1.0_me100_lr_0.0002_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.99232,0,0,0.3307733333333333,0.935,0,0,0.3116666666666667,0.9103448275862068,0,0,0.30344827586206896
CE_D_Sub_resnet50_ur1.0_me100_lr_0.001_decay_1e-05_aug_flip_bsz_32_rsz_32_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9591466666666668,0,0,0.3197155555555556,0.915,0,0,0.305,0.8827586206896552,0,0,0.2942528735632184
CE_D_Sub_resnet50_ur1.0_me200_lr_0.0001_decay_0.0_aug_flip_bsz_32_rsz_32_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9232258064516128,0,0,0.3077419354838709,0.8542713567839196,0,0,0.28475711892797323,0.7943262411347518,0,0,0.2647754137115839
CE_D_Sub_resnet50_ur1.0_me200_lr_0.001_decay_0.0_aug_flip_bsz_32_rsz_32_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.965483870967742,0,0,0.3218279569892473,0.9246231155778896,0,0,0.30820770519262985,0.896551724137931,0,0,0.2988505747126437
CE_D_Sub_resnet50_ur1.0_me200_lr_0.001_decay_0.0_aug_flip_bsz_8_rsz_32_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.94336,0,0,0.3144533333333333,0.84,0,0,0.27999999999999997,0.8095238095238095,0,0,0.2698412698412698
CE_D_Sub_resnet50_ur1.0_me200_lr_0.001_decay_1e-05_aug_flip_bsz_32_rsz_32_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9406451612903226,0,0,0.3135483870967742,0.9095477386934674,0,0,0.30318257956448913,0.8783783783783784,0,0,0.2927927927927928
CE_D_Sub_resnet50_ur1.0_me200_lr_1e-05_decay_1e-05_aug_flip_bsz_8_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9642666666666668,0,0,0.3214222222222223,0.915,0,0,0.305,0.8874172185430463,0,0,0.2958057395143488
CE_D_Sub_resnet50_ur1.0_me200_lr_1e-05_decay_1e-05_aug_flip_bsz_8_rsz_32_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.8810666666666668,0,0,0.29368888888888894,0.84,0,0,0.27999999999999997,0.7647058823529411,0,0,0.2549019607843137
CE_D_Sub_resnet50_ur1.0_me200_lr_1e-05_decay_1e-05_aug_pin_bsz_8_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9789866666666668,0,0,0.32632888888888895,0.905,0,0,0.3016666666666667,0.8652482269503545,0,0,0.2884160756501182
